"No.","Time","Source","Destination","Protocol","Length","Info"
"10649","39.572968292","134.224.67.86","192.168.1.44","UDP","304","8801  >  53820 Len=262"
"10650","39.573776391","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"10651","39.583063491","134.224.67.86","192.168.1.44","UDP","1254","8801  >  57091 Len=1212"
"10653","39.593733811","134.224.67.86","192.168.1.44","UDP","269","8801  >  53820 Len=227"
"10654","39.601496510","134.224.67.86","192.168.1.44","UDP","1254","8801  >  57091 Len=1212"
"10655","39.602329217","134.224.67.86","192.168.1.44","UDP","1254","8801  >  57091 Len=1212"
"10657","39.612818945","134.224.67.86","192.168.1.44","UDP","1254","8801  >  57091 Len=1212"
"10660","39.614141645","134.224.67.86","192.168.1.44","UDP","244","8801  >  53820 Len=202"
"10661","39.614164451","134.224.67.86","192.168.1.44","UDP","148","8801  >  53820 Len=106"
"10662","39.622748731","134.224.67.86","192.168.1.44","UDP","1254","8801  >  57091 Len=1212"
"10665","39.623373129","134.224.67.86","192.168.1.44","UDP","1254","8801  >  57091 Len=1212"
"10666","39.631516542","134.224.67.86","192.168.1.44","UDP","1286","8801  >  57091 Len=1244"
"10668","39.633834513","134.224.67.86","192.168.1.44","UDP","145","8801  >  53820 Len=103"
"10669","39.662899796","134.224.67.86","192.168.1.44","UDP","1107","8801  >  57091 Len=1065"
"10670","39.663040002","134.224.67.86","192.168.1.44","UDP","1107","8801  >  57091 Len=1065"
"10671","39.672760085","134.224.67.86","192.168.1.44","UDP","1107","8801  >  57091 Len=1065"
"10672","39.673787833","134.224.67.86","192.168.1.44","UDP","149","8801  >  53820 Len=107"
"10673","39.673809316","134.224.67.86","192.168.1.44","UDP","150","8801  >  53820 Len=108"
"10681","39.712806925","134.224.67.86","192.168.1.44","UDP","1107","8801  >  57091 Len=1065"
"10682","39.713916151","134.224.67.86","192.168.1.44","UDP","1107","8801  >  57091 Len=1065"
"10683","39.714981942","134.224.67.86","192.168.1.44","UDP","152","8801  >  53820 Len=110"
"10684","39.723259883","134.224.67.86","192.168.1.44","UDP","1221","8801  >  57091 Len=1179"
"10687","39.732897369","134.224.67.86","192.168.1.44","UDP","1220","8801  >  57091 Len=1178"
"10689","39.734071459","134.224.67.86","192.168.1.44","UDP","1220","8801  >  57091 Len=1178"
"10690","39.734864676","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10691","39.742772864","134.224.67.86","192.168.1.44","UDP","1220","8801  >  57091 Len=1178"
"10692","39.743812611","134.224.67.86","192.168.1.44","UDP","1220","8801  >  57091 Len=1178"
"10693","39.753982695","134.224.67.86","192.168.1.44","UDP","1220","8801  >  57091 Len=1178"
"10694","39.754148446","134.224.67.86","192.168.1.44","UDP","1252","8801  >  57091 Len=1210"
"10699","39.784051718","134.224.67.86","192.168.1.44","UDP","1158","8801  >  57091 Len=1116"
"10700","39.784197548","134.224.67.86","192.168.1.44","UDP","1158","8801  >  57091 Len=1116"
"10702","39.793876756","134.224.67.86","192.168.1.44","UDP","1158","8801  >  57091 Len=1116"
"10703","39.794022627","134.224.67.86","192.168.1.44","UDP","1158","8801  >  57091 Len=1116"
"10704","39.795060657","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10706","39.804736679","134.224.67.86","192.168.1.44","UDP","1157","8801  >  57091 Len=1115"
"10707","39.833881093","134.224.67.86","192.168.1.44","UDP","1297","8801  >  57091 Len=1255"
"10708","39.834054748","134.224.67.86","192.168.1.44","UDP","1296","8801  >  57091 Len=1254"
"10715","39.875345825","134.224.67.86","192.168.1.44","UDP","1296","8801  >  57091 Len=1254"
"10716","39.875495088","134.224.67.86","192.168.1.44","UDP","1296","8801  >  57091 Len=1254"
"10720","39.875740756","134.224.67.86","192.168.1.44","UDP","1296","8801  >  57091 Len=1254"
"10721","39.881414042","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"10729","39.966415963","134.224.67.86","192.168.1.44","UDP","1296","8801  >  57091 Len=1254"
"10730","39.966585276","134.224.67.86","192.168.1.44","UDP","1296","8801  >  57091 Len=1254"
"10731","39.967483498","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10732","39.975090318","134.224.67.86","192.168.1.44","UDP","1328","8801  >  57091 Len=1286"
"10733","39.976565900","134.224.67.86","192.168.1.44","UDP","1303","8801  >  57091 Len=1261"
"10734","39.986471193","134.224.67.86","192.168.1.44","UDP","1302","8801  >  57091 Len=1260"
"10735","39.986644158","134.224.67.86","192.168.1.44","UDP","1302","8801  >  57091 Len=1260"
"10736","39.996491097","134.224.67.86","192.168.1.44","UDP","1302","8801  >  57091 Len=1260"
"10738","39.996656047","134.224.67.86","192.168.1.44","UDP","1218","8801  >  57091 Len=1176"
"10741","40.006488536","134.224.67.86","192.168.1.44","UDP","1218","8801  >  57091 Len=1176"
"10742","40.006648060","134.224.67.86","192.168.1.44","UDP","1218","8801  >  57091 Len=1176"
"10745","40.016413891","134.224.67.86","192.168.1.44","UDP","1218","8801  >  57091 Len=1176"
"10746","40.016578475","134.224.67.86","192.168.1.44","UDP","1217","8801  >  57091 Len=1175"
