"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.005884231","134.224.67.86","192.168.1.44","UDP","188","8801  >  53820 Len=146"
"3","0.005914879","134.224.67.86","192.168.1.44","UDP","187","8801  >  53820 Len=145"
"7","0.014561136","134.224.67.86","192.168.1.44","UDP","1221","8801  >  57091 Len=1179"
"10","0.015322296","134.224.67.86","192.168.1.44","UDP","1221","8801  >  57091 Len=1179"
"11","0.025058504","134.224.67.86","192.168.1.44","UDP","1221","8801  >  57091 Len=1179"
"14","0.029594792","134.224.67.86","192.168.1.44","TLSv1.2","111","Application Data"
"16","0.030361296","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=46 Ack=46 Win=16 Len=0 TSval=1380029372 TSecr=3700321552"
"17","0.030394580","134.224.67.86","192.168.1.44","TLSv1.2","111","Application Data"
"19","0.046598166","134.224.67.86","192.168.1.44","UDP","326","8801  >  53820 Len=284"
"25","0.087059495","134.224.67.86","192.168.1.44","UDP","340","8801  >  53820 Len=298"
"26","0.092030789","134.224.67.86","192.168.1.44","UDP","353","8801  >  53820 Len=311"
"27","0.092055098","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=91 Ack=91 Win=16 Len=0 TSval=1380029434 TSecr=3700321576"
"28","0.095553647","134.224.67.86","192.168.1.44","UDP","927","8801  >  57091 Len=885"
"29","0.096168328","134.224.67.86","192.168.1.44","UDP","927","8801  >  57091 Len=885"
"31","0.105624377","134.224.67.86","192.168.1.44","UDP","927","8801  >  57091 Len=885"
"32","0.107148473","134.224.67.86","192.168.1.44","UDP","926","8801  >  57091 Len=884"
"33","0.107590182","134.224.67.86","192.168.1.44","UDP","349","8801  >  53820 Len=307"
"34","0.127736821","134.224.67.86","192.168.1.44","UDP","926","8801  >  57091 Len=884"
"37","0.132213875","134.224.67.86","192.168.1.44","UDP","958","8801  >  57091 Len=916"
"38","0.132240599","134.224.67.86","192.168.1.44","UDP","340","8801  >  53820 Len=298"
"39","0.132282810","134.224.67.86","192.168.1.44","UDP","316","8801  >  53820 Len=274"
"44","0.154308034","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"45","0.155693776","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"46","0.155721015","134.224.67.86","192.168.1.44","UDP","309","8801  >  53820 Len=267"
"47","0.155732811","134.224.67.86","192.168.1.44","TLSv1.2","160","Application Data"
"51","0.176282129","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"52","0.177750601","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=185 Ack=141 Win=16 Len=0 TSval=1380029520 TSecr=3700321702"
"55","0.188026244","134.224.67.86","192.168.1.44","UDP","301","8801  >  53820 Len=259"
"59","0.219043559","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"60","0.227288315","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"61","0.228855013","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"62","0.229356223","134.224.67.86","192.168.1.44","UDP","301","8801  >  53820 Len=259"
"63","0.229384553","134.224.67.86","192.168.1.44","UDP","295","8801  >  53820 Len=253"
"64","0.236856978","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"65","0.237660957","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"66","0.247805712","134.224.67.86","192.168.1.44","UDP","1203","8801  >  57091 Len=1161"
"67","0.248323992","134.224.67.86","192.168.1.44","UDP","1234","8801  >  57091 Len=1192"
"68","0.248837117","134.224.67.86","192.168.1.44","UDP","286","8801  >  53820 Len=244"
"73","0.269404421","134.224.67.86","192.168.1.44","UDP","280","8801  >  53820 Len=238"
"77","0.291573077","134.224.67.86","192.168.1.44","UDP","276","8801  >  53820 Len=234"
"79","0.308756675","134.224.67.86","192.168.1.44","UDP","1257","8801  >  57091 Len=1215"
"81","0.309422681","134.224.67.86","192.168.1.44","UDP","1256","8801  >  57091 Len=1214"
"86","0.327694993","134.224.67.86","192.168.1.44","UDP","1256","8801  >  57091 Len=1214"
"87","0.330613580","134.224.67.86","192.168.1.44","UDP","163","8801  >  53820 Len=121"
"88","0.330648184","134.224.67.86","192.168.1.44","UDP","164","8801  >  53820 Len=122"
"89","0.330658276","134.224.67.86","192.168.1.44","UDP","165","8801  >  53820 Len=123"
"90","0.360728300","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"95","0.363602207","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"96","0.369686680","134.224.67.86","192.168.1.44","UDP","1114","8801  >  57091 Len=1072"
"97","0.372224677","134.224.67.86","192.168.1.44","UDP","166","8801  >  53820 Len=124"
"98","0.372256723","134.224.67.86","192.168.1.44","UDP","163","8801  >  53820 Len=121"
"102","0.401715535","134.224.67.86","192.168.1.44","UDP","1114","8801  >  57091 Len=1072"
"103","0.401834813","134.224.67.86","192.168.1.44","UDP","1114","8801  >  57091 Len=1072"
"105","0.409927556","134.224.67.86","192.168.1.44","UDP","1114","8801  >  57091 Len=1072"
"106","0.410642333","134.224.67.86","192.168.1.44","UDP","1146","8801  >  57091 Len=1104"
"107","0.411556751","134.224.67.86","192.168.1.44","UDP","160","8801  >  53820 Len=118"
"110","0.430546303","134.224.67.86","192.168.1.44","UDP","1247","8801  >  57091 Len=1205"
"113","0.434375655","134.224.67.86","192.168.1.44","UDP","1246","8801  >  57091 Len=1204"
"114","0.434927161","134.224.67.86","192.168.1.44","UDP","159","8801  >  53820 Len=117"
"115","0.434947474","134.224.67.86","192.168.1.44","UDP","165","8801  >  53820 Len=123"
"116","0.451869836","134.224.67.86","192.168.1.44","UDP","159","8801  >  53820 Len=117"
"125","0.512777877","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"127","0.522250820","134.224.67.86","192.168.1.44","UDP","1209","8801  >  57091 Len=1167"
"128","0.523174325","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"134","0.542882339","134.224.67.86","192.168.1.44","UDP","1208","8801  >  57091 Len=1166"
"135","0.543549600","134.224.67.86","192.168.1.44","UDP","1208","8801  >  57091 Len=1166"
"136","0.551730576","134.224.67.86","192.168.1.44","UDP","1208","8801  >  57091 Len=1166"
"139","0.552348033","134.224.67.86","192.168.1.44","UDP","1208","8801  >  57091 Len=1166"
"140","0.562357002","134.224.67.86","192.168.1.44","UDP","1240","8801  >  57091 Len=1198"
"155","0.612803374","134.224.67.86","192.168.1.44","UDP","1184","8801  >  57091 Len=1142"
"157","0.613969514","134.224.67.86","192.168.1.44","UDP","1183","8801  >  57091 Len=1141"
"158","0.614462961","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"159","0.622840698","134.224.67.86","192.168.1.44","UDP","1183","8801  >  57091 Len=1141"
"161","0.632659189","134.224.67.86","192.168.1.44","UDP","1165","8801  >  57091 Len=1123"
"162","0.633387632","134.224.67.86","192.168.1.44","UDP","1164","8801  >  57091 Len=1122"
"163","0.644208743","134.224.67.86","192.168.1.44","UDP","1164","8801  >  57091 Len=1122"
"164","0.644840131","134.224.67.86","192.168.1.44","UDP","1164","8801  >  57091 Len=1122"
"171","0.652924912","134.224.67.86","192.168.1.44","UDP","1164","8801  >  57091 Len=1122"
"174","0.653971243","134.224.67.86","192.168.1.44","UDP","1196","8801  >  57091 Len=1154"
"177","0.674569915","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"185","0.731495644","134.224.67.86","192.168.1.44","UDP","1304","8801  >  57091 Len=1262"
"189","0.735966998","134.224.67.86","192.168.1.44","UDP","1304","8801  >  57091 Len=1262"
"190","0.736154012","134.224.67.86","192.168.1.44","UDP","1304","8801  >  57091 Len=1262"
"191","0.741149966","134.224.67.86","192.168.1.44","UDP","123","8801  >  57091 Len=81"
"196","0.768714220","134.224.67.86","192.168.1.44","WireGuard","123","Transport Data, receiver=0xCFCF011D, counter=4613094636973523040, datalen=49"
"197","0.774230914","134.224.67.86","192.168.1.44","UDP","1188","8801  >  57091 Len=1146"
"200","0.774788158","134.224.67.86","192.168.1.44","UDP","1188","8801  >  57091 Len=1146"
"201","0.796700501","134.224.67.86","192.168.1.44","UDP","1188","8801  >  57091 Len=1146"
"202","0.798398373","134.224.67.86","192.168.1.44","UDP","1187","8801  >  57091 Len=1145"
"203","0.798415115","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"204","0.798421690","134.224.67.86","192.168.1.44","UDP","1187","8801  >  57091 Len=1145"
"205","0.798426842","134.224.67.86","192.168.1.44","UDP","1219","8801  >  57091 Len=1177"
"207","0.820549261","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"208","0.827623495","134.224.67.86","192.168.1.44","UDP","995","8801  >  57091 Len=953"
"213","0.838764534","134.224.67.86","192.168.1.44","UDP","995","8801  >  57091 Len=953"
"214","0.838888385","134.224.67.86","192.168.1.44","UDP","994","8801  >  57091 Len=952"
"215","0.839753444","134.224.67.86","192.168.1.44","UDP","106","8801  >  53820 Len=64"
"220","0.876582636","134.224.67.86","192.168.1.44","UDP","123","8801  >  53820 Len=81"
"222","0.880967497","134.224.67.86","192.168.1.44","WireGuard","123","Transport Data, receiver=0xCFCF011D, counter=4613094641268490466, datalen=49"
"223","0.887446430","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"230","0.905706501","134.224.67.86","192.168.1.44","UDP","1140","8801  >  57091 Len=1098"
"231","0.906333929","134.224.67.86","192.168.1.44","UDP","1140","8801  >  57091 Len=1098"
"232","0.915773246","134.224.67.86","192.168.1.44","UDP","1140","8801  >  57091 Len=1098"
"234","0.946897647","134.224.67.86","192.168.1.44","UDP","1139","8801  >  57091 Len=1097"
"237","0.951536637","134.224.67.86","192.168.1.44","UDP","1139","8801  >  57091 Len=1097"
"238","0.957775165","134.224.67.86","192.168.1.44","UDP","1139","8801  >  57091 Len=1097"
"242","0.958578734","134.224.67.86","192.168.1.44","UDP","1171","8801  >  57091 Len=1129"
"245","0.977405585","134.224.67.86","192.168.1.44","UDP","1235","8801  >  57091 Len=1193"
"247","0.978085189","134.224.67.86","192.168.1.44","UDP","1235","8801  >  57091 Len=1193"
"248","0.981491949","134.224.67.86","192.168.1.44","UDP","123","8801  >  51786 Len=81"
"250","0.982159045","134.224.67.86","192.168.1.44","WireGuard","123","Transport Data, receiver=0xD0CF011D, counter=4613094632678555718, datalen=49"
"251","0.986565094","134.224.67.86","192.168.1.44","UDP","1234","8801  >  57091 Len=1192"
"252","0.988403253","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"258","1.037597563","134.224.67.86","192.168.1.44","UDP","1161","8801  >  57091 Len=1119"
"259","1.039678881","134.224.67.86","192.168.1.44","UDP","1161","8801  >  57091 Len=1119"
"260","1.049379248","134.224.67.86","192.168.1.44","UDP","1161","8801  >  57091 Len=1119"
"261","1.049521740","134.224.67.86","192.168.1.44","UDP","1161","8801  >  57091 Len=1119"
"262","1.060175903","134.224.67.86","192.168.1.44","UDP","1160","8801  >  57091 Len=1118"
"264","1.060324183","134.224.67.86","192.168.1.44","UDP","1192","8801  >  57091 Len=1150"
"268","1.074804825","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"272","1.098838288","134.224.67.86","192.168.1.44","UDP","1205","8801  >  57091 Len=1163"
"273","1.099748396","134.224.67.86","192.168.1.44","UDP","1205","8801  >  57091 Len=1163"
"275","1.108768719","134.224.67.86","192.168.1.44","UDP","1205","8801  >  57091 Len=1163"
"276","1.121363632","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"281","1.137544348","134.224.67.86","192.168.1.44","UDP","94","8801  >  57091 Len=52"
"286","1.199000078","134.224.67.86","192.168.1.44","UDP","1101","8801  >  57091 Len=1059"
"290","1.199902566","134.224.67.86","192.168.1.44","UDP","1101","8801  >  57091 Len=1059"
"292","1.207574690","134.224.67.86","192.168.1.44","TLSv1.2","160","Application Data"
"295","1.220129286","134.224.67.86","192.168.1.44","UDP","1101","8801  >  57091 Len=1059"
"296","1.220247489","134.224.67.86","192.168.1.44","UDP","1101","8801  >  57091 Len=1059"
"298","1.224298291","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"299","1.226438725","134.224.67.86","192.168.1.44","UDP","1101","8801  >  57091 Len=1059"
"300","1.226585235","134.224.67.86","192.168.1.44","UDP","1132","8801  >  57091 Len=1090"
"305","1.241024016","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=279 Ack=191 Win=16 Len=0 TSval=1380030582 TSecr=3700322764"
"323","1.433674837","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"356","1.656394205","134.224.67.86","192.168.1.44","UDP","159","8801  >  57091 Len=117"
"366","1.668350465","134.224.67.86","192.168.1.44","UDP","1273","8801  >  57091 Len=1231"
"368","1.668974293","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"369","1.669018215","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"370","1.674806785","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"372","1.681605287","134.224.67.86","192.168.1.44","UDP","1273","8801  >  57091 Len=1231"
"373","1.681640420","134.224.67.86","192.168.1.44","UDP","1273","8801  >  57091 Len=1231"
"374","1.681650877","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"375","1.696731300","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"376","1.696758095","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"377","1.696765278","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"378","1.696770788","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"379","1.698249389","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"380","1.698263814","134.224.67.86","192.168.1.44","UDP","1114","8801  >  57091 Len=1072"
"384","1.707936834","134.224.67.86","192.168.1.44","UDP","1146","8801  >  57091 Len=1104"
"385","1.707965304","134.224.67.86","192.168.1.44","UDP","1021","8801  >  57091 Len=979"
"386","1.711180714","134.224.67.86","192.168.1.44","UDP","1021","8801  >  57091 Len=979"
"390","1.718681397","134.224.67.86","192.168.1.44","UDP","1020","8801  >  57091 Len=978"
"391","1.718815158","134.224.67.86","192.168.1.44","UDP","1050","8801  >  57091 Len=1008"
"392","1.723865139","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"393","1.727805878","134.224.67.86","192.168.1.44","UDP","1050","8801  >  57091 Len=1008"
"394","1.727925990","134.224.67.86","192.168.1.44","UDP","1050","8801  >  57091 Len=1008"
"395","1.728074836","134.224.67.86","192.168.1.44","UDP","1050","8801  >  57091 Len=1008"
"396","1.738366167","134.224.67.86","192.168.1.44","UDP","1050","8801  >  57091 Len=1008"
"397","1.739157108","134.224.67.86","192.168.1.44","UDP","1081","8801  >  57091 Len=1039"
"398","1.750508440","134.224.67.86","192.168.1.44","UDP","1098","8801  >  57091 Len=1056"
"399","1.750640925","134.224.67.86","192.168.1.44","UDP","1098","8801  >  57091 Len=1056"
"400","1.750778467","134.224.67.86","192.168.1.44","UDP","1098","8801  >  57091 Len=1056"
"401","1.758341727","134.224.67.86","192.168.1.44","UDP","954","8801  >  57091 Len=912"
"402","1.758363725","134.224.67.86","192.168.1.44","UDP","954","8801  >  57091 Len=912"
"403","1.758367147","134.224.67.86","192.168.1.44","UDP","953","8801  >  57091 Len=911"
"406","1.773843230","134.224.67.86","192.168.1.44","UDP","953","8801  >  57091 Len=911"
"407","1.774039113","134.224.67.86","192.168.1.44","UDP","953","8801  >  57091 Len=911"
"408","1.774246011","134.224.67.86","192.168.1.44","UDP","985","8801  >  57091 Len=943"
"411","1.777488576","134.224.67.86","192.168.1.44","UDP","1066","8801  >  57091 Len=1024"
"412","1.777631110","134.224.67.86","192.168.1.44","UDP","1066","8801  >  57091 Len=1024"
"413","1.782599309","134.224.67.86","192.168.1.44","TLSv1.2","132","Application Data"
"418","1.788386442","134.224.67.86","192.168.1.44","UDP","1185","8801  >  57091 Len=1143"
"419","1.788420946","134.224.67.86","192.168.1.44","UDP","1184","8801  >  57091 Len=1142"
"420","1.788966951","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"421","1.797734477","134.224.67.86","192.168.1.44","UDP","1184","8801  >  57091 Len=1142"
"422","1.797893779","134.224.67.86","192.168.1.44","UDP","1184","8801  >  57091 Len=1142"
"424","1.798980618","134.224.67.86","192.168.1.44","UDP","1184","8801  >  57091 Len=1142"
"426","1.806047051","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=345 Ack=241 Win=16 Len=0 TSval=1380031146 TSecr=3700323329"
"427","1.807578951","134.224.67.86","192.168.1.44","UDP","1216","8801  >  57091 Len=1174"
"428","1.808636178","134.224.67.86","192.168.1.44","UDP","1074","8801  >  57091 Len=1032"
"429","1.817500677","134.224.67.86","192.168.1.44","UDP","1073","8801  >  57091 Len=1031"
"432","1.818944520","134.224.67.86","192.168.1.44","UDP","1073","8801  >  57091 Len=1031"
"433","1.829097314","134.224.67.86","192.168.1.44","UDP","1073","8801  >  57091 Len=1031"
"435","1.829258230","134.224.67.86","192.168.1.44","UDP","1073","8801  >  57091 Len=1031"
"437","1.829430526","134.224.67.86","192.168.1.44","UDP","1080","8801  >  57091 Len=1038"
"438","1.838969099","134.224.67.86","192.168.1.44","UDP","1080","8801  >  57091 Len=1038"
"439","1.839137014","134.224.67.86","192.168.1.44","UDP","1080","8801  >  57091 Len=1038"
"447","1.890446147","134.224.67.86","192.168.1.44","UDP","1079","8801  >  57091 Len=1037"
"449","1.890601276","134.224.67.86","192.168.1.44","UDP","1079","8801  >  57091 Len=1037"
"450","1.890611905","134.224.67.86","192.168.1.44","UDP","106","8801  >  53820 Len=64"
"452","1.892028156","134.224.67.86","192.168.1.44","UDP","1111","8801  >  57091 Len=1069"
"453","1.892204718","134.224.67.86","192.168.1.44","UDP","1163","8801  >  57091 Len=1121"
"454","1.892239107","134.224.67.86","192.168.1.44","UDP","186","8801  >  53820 Len=144"
"457","1.899160030","134.224.67.86","192.168.1.44","UDP","1163","8801  >  57091 Len=1121"
"458","1.899342254","134.224.67.86","192.168.1.44","UDP","1163","8801  >  57091 Len=1121"
"462","1.910409279","134.224.67.86","192.168.1.44","UDP","1197","8801  >  57091 Len=1155"
"464","1.910599889","134.224.67.86","192.168.1.44","UDP","1197","8801  >  57091 Len=1155"
"465","1.911456643","134.224.67.86","192.168.1.44","UDP","1197","8801  >  57091 Len=1155"
"466","1.912001184","134.224.67.86","192.168.1.44","UDP","197","8801  >  53820 Len=155"
"467","1.920015384","134.224.67.86","192.168.1.44","UDP","1196","8801  >  57091 Len=1154"
"469","1.928792756","134.224.67.86","192.168.1.44","UDP","1196","8801  >  57091 Len=1154"
"470","1.930114440","134.224.67.86","192.168.1.44","UDP","1228","8801  >  57091 Len=1186"
"471","1.931191071","134.224.67.86","192.168.1.44","UDP","335","8801  >  53820 Len=293"
"474","1.951230164","134.224.67.86","192.168.1.44","UDP","345","8801  >  53820 Len=303"
"477","1.960205197","134.224.67.86","192.168.1.44","UDP","1018","8801  >  57091 Len=976"
"478","1.960327866","134.224.67.86","192.168.1.44","UDP","1018","8801  >  57091 Len=976"
"479","1.970613353","134.224.67.86","192.168.1.44","UDP","1017","8801  >  57091 Len=975"
"481","1.971375086","134.224.67.86","192.168.1.44","UDP","340","8801  >  53820 Len=298"
"482","1.971430565","134.224.67.86","192.168.1.44","UDP","346","8801  >  53820 Len=304"
"483","1.980462678","134.224.67.86","192.168.1.44","UDP","1017","8801  >  57091 Len=975"
"484","1.991271662","134.224.67.86","192.168.1.44","UDP","341","8801  >  53820 Len=299"
"491","2.010476905","134.224.67.86","192.168.1.44","UDP","1159","8801  >  57091 Len=1117"
"492","2.010654386","134.224.67.86","192.168.1.44","UDP","1159","8801  >  57091 Len=1117"
"495","2.020032147","134.224.67.86","192.168.1.44","UDP","1158","8801  >  57091 Len=1116"
"498","2.022639356","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"499","2.032567459","134.224.67.86","192.168.1.44","UDP","346","8801  >  53820 Len=304"
"501","2.051214443","134.224.67.86","192.168.1.44","UDP","353","8801  >  53820 Len=311"
"502","2.051413893","134.224.67.86","192.168.1.44","UDP","1158","8801  >  57091 Len=1116"
"504","2.051632667","134.224.67.86","192.168.1.44","UDP","1158","8801  >  57091 Len=1116"
"506","2.052705942","134.224.67.86","192.168.1.44","UDP","350","8801  >  53820 Len=308"
"507","2.061474580","134.224.67.86","192.168.1.44","UDP","1190","8801  >  57091 Len=1148"
"511","2.095080076","134.224.67.86","192.168.1.44","UDP","323","8801  >  53820 Len=281"
"517","2.124138119","134.224.67.86","192.168.1.44","UDP","300","8801  >  53820 Len=258"
"522","2.151337773","134.224.67.86","192.168.1.44","UDP","1001","8801  >  57091 Len=959"
"523","2.152638109","134.224.67.86","192.168.1.44","UDP","1001","8801  >  57091 Len=959"
"524","2.153884145","134.224.67.86","192.168.1.44","UDP","294","8801  >  53820 Len=252"
"525","2.153928221","134.224.67.86","192.168.1.44","UDP","315","8801  >  53820 Len=273"
"526","2.153985352","134.224.67.86","192.168.1.44","UDP","320","8801  >  53820 Len=278"
"527","2.162742193","134.224.67.86","192.168.1.44","UDP","1001","8801  >  57091 Len=959"
"532","2.183488345","134.224.67.86","192.168.1.44","UDP","977","8801  >  57091 Len=935"
"533","2.183609711","134.224.67.86","192.168.1.44","UDP","977","8801  >  57091 Len=935"
"534","2.186348055","134.224.67.86","192.168.1.44","TLSv1.2","145","Application Data"
"536","2.194213478","134.224.67.86","192.168.1.44","UDP","976","8801  >  57091 Len=934"
"537","2.194381602","134.224.67.86","192.168.1.44","UDP","976","8801  >  57091 Len=934"
"538","2.194522358","134.224.67.86","192.168.1.44","UDP","976","8801  >  57091 Len=934"
"539","2.194978137","134.224.67.86","192.168.1.44","UDP","329","8801  >  53820 Len=287"
"540","2.195029572","134.224.67.86","192.168.1.44","UDP","322","8801  >  53820 Len=280"
"541","2.202728759","134.224.67.86","192.168.1.44","UDP","1008","8801  >  57091 Len=966"
"548","2.208599497","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=424 Ack=291 Win=16 Len=0 TSval=1380031550 TSecr=3700323733"
"553","2.234374980","134.224.67.86","192.168.1.44","UDP","1055","8801  >  57091 Len=1013"
"554","2.235047100","134.224.67.86","192.168.1.44","UDP","1055","8801  >  57091 Len=1013"
"557","2.236338698","134.224.67.86","192.168.1.44","UDP","310","8801  >  53820 Len=268"
"558","2.236392449","134.224.67.86","192.168.1.44","UDP","300","8801  >  53820 Len=258"
"559","2.245054425","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=424 Ack=936 Win=16 Len=0 TSval=1380031587 TSecr=3700323767"
"560","2.246058906","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=424 Ack=1554 Win=16 Len=0 TSval=1380031587 TSecr=3700323770"
"563","2.253913370","134.224.67.86","192.168.1.44","UDP","1055","8801  >  57091 Len=1013"
"564","2.254057958","134.224.67.86","192.168.1.44","UDP","1054","8801  >  57091 Len=1012"
"565","2.254073076","134.224.67.86","192.168.1.44","TLSv1.2","168","Application Data"
"569","2.283957703","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"570","2.284128863","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"572","2.295144802","134.224.67.86","192.168.1.44","UDP","283","8801  >  53820 Len=241"
"573","2.295227784","134.224.67.86","192.168.1.44","UDP","287","8801  >  53820 Len=245"
"574","2.295273669","134.224.67.86","192.168.1.44","UDP","290","8801  >  53820 Len=248"
"580","2.325097210","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"581","2.337911154","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"582","2.338086111","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"583","2.338785096","134.224.67.86","192.168.1.44","UDP","167","8801  >  53820 Len=125"
"584","2.341260193","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=526 Ack=1604 Win=16 Len=0 TSval=1380031679 TSecr=3700323821"
"585","2.350167199","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"586","2.350334223","134.224.67.86","192.168.1.44","UDP","1115","8801  >  57091 Len=1073"
"587","2.354023084","134.224.67.86","192.168.1.44","UDP","1146","8801  >  57091 Len=1104"
"588","2.355231696","134.224.67.86","192.168.1.44","UDP","1185","8801  >  57091 Len=1143"
"589","2.356240973","134.224.67.86","192.168.1.44","UDP","157","8801  >  53820 Len=115"
"590","2.356263973","134.224.67.86","192.168.1.44","UDP","159","8801  >  53820 Len=117"
"595","2.365192684","134.224.67.86","192.168.1.44","UDP","1185","8801  >  57091 Len=1143"
"601","2.385468934","134.224.67.86","192.168.1.44","UDP","1184","8801  >  57091 Len=1142"
"605","2.387667076","134.224.67.86","192.168.1.44","UDP","162","8801  >  53820 Len=120"
"606","2.387702731","134.224.67.86","192.168.1.44","UDP","161","8801  >  53820 Len=119"
"612","2.427555682","134.224.67.86","192.168.1.44","TLSv1.2","145","Application Data"
"615","2.461278833","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=605 Ack=1654 Win=16 Len=0 TSval=1380031802 TSecr=3700323984"
"623","2.496548945","134.224.67.86","192.168.1.44","UDP","1105","8801  >  57091 Len=1063"
"624","2.497228077","134.224.67.86","192.168.1.44","UDP","1105","8801  >  57091 Len=1063"
"626","2.506487534","134.224.67.86","192.168.1.44","UDP","1105","8801  >  57091 Len=1063"
"627","2.506640281","134.224.67.86","192.168.1.44","UDP","1105","8801  >  57091 Len=1063"
"628","2.507417159","134.224.67.86","192.168.1.44","UDP","158","8801  >  53820 Len=116"
"629","2.507447613","134.224.67.86","192.168.1.44","UDP","165","8801  >  53820 Len=123"
"630","2.507472973","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"631","2.516516349","134.224.67.86","192.168.1.44","UDP","1105","8801  >  57091 Len=1063"
"632","2.516700043","134.224.67.86","192.168.1.44","UDP","1136","8801  >  57091 Len=1094"
"633","2.516897747","134.224.67.86","192.168.1.44","UDP","1089","8801  >  57091 Len=1047"
"634","2.526358127","134.224.67.86","192.168.1.44","UDP","1089","8801  >  57091 Len=1047"
"635","2.526528213","134.224.67.86","192.168.1.44","UDP","1089","8801  >  57091 Len=1047"
"638","2.536330886","134.224.67.86","192.168.1.44","UDP","1089","8801  >  57091 Len=1047"
"641","2.548858577","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"644","2.576460161","134.224.67.86","192.168.1.44","UDP","1087","8801  >  57091 Len=1045"
"647","2.590137580","134.224.67.86","192.168.1.44","UDP","1087","8801  >  57091 Len=1045"
"651","2.590787211","134.224.67.86","192.168.1.44","UDP","1087","8801  >  57091 Len=1045"
"652","2.597725000","134.224.67.86","192.168.1.44","UDP","1087","8801  >  57091 Len=1045"
"653","2.597896680","134.224.67.86","192.168.1.44","UDP","1086","8801  >  57091 Len=1044"
"654","2.598802822","134.224.67.86","192.168.1.44","TLSv1.2","136","Application Data"
"658","2.610183355","134.224.67.86","192.168.1.44","UDP","1118","8801  >  57091 Len=1076"
"659","2.619859760","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
